ean,nome_produto,sub_segmento
7896544705180,SURYA MASCARA CAPILAR LARANJA E ANDIROBA 300 G x 1,
7896544705203,SURYA MASCARA CAPILAR MORANGO BURITI CABELOS QUEBRADICOS 300 G x 1,
7896544701717,SURYA SHAMPOO CANELA CAPUACU 300 ML x 1,
7896544701724,SURYA SHAMPOO COCO UCUUBA 300 ML x 1,
7896544701694,SURYA SHAMPOO LARANJA E ANDIROBA 300 ML x 1,
7896544701700,SURYA SHAMPOO MARACUJA E COPAIBA 300 ML x 1,
7898556033343,SVEDA CLEAR CONDICIONADOR 200 ML x 1,
7898556034456,SVEDA CONDICIONADOR OLEO RICINO 300 G x 1,
7908079508867,SVEDA CREME LEAVE IN BAMBOO 500 ML x 1,
7898556032148,SVEDA HAIR AMPOLA DE TRATAMENTO CAPILAR OLEO DE ARGAN 15 ML x 1,
7898556032131,SVEDA HAIR AMPOLA DE TRATAMENTO CAPILAR QUERATINA 15 ML x 1,
7898556032155,SVEDA HAIR AMPOLA DE TRATAMENTO CAPILAR SEMI DI LINO 15 ML x 1,
7908079506207,SVEDA HAIR AMPOLA DOSE CONCENTRADA COCO 10 ML x 1,
7908079506306,SVEDA HAIR AMPOLA DOSE CONCENTRADA QUERATINA 10 ML x 1,
7908079507341,SVEDA HAIR CONDICIONADOR ACIDO HIALURONICO 500 ML x 1,
7908079501103,SVEDA HAIR CONDICIONADOR AFRO HAIR 500 ML x 1,
7908079508485,SVEDA HAIR CONDICIONADOR ANTIFRIZZ 500 ML x 1,
7908079508850,SVEDA HAIR CONDICIONADOR BAMBOO OLEO RICINO 500 ML x 1,
7908079506429,SVEDA HAIR CONDICIONADOR BIOTINA E RICINO 500 ML x 1,
7898556032117,SVEDA HAIR CONDICIONADOR BLOND 240 ML x 1,
7908079507716,SVEDA HAIR CONDICIONADOR CHAPA FIO ALISADOS E RELAXADOS 350 ML x 1,
7898556035019,SVEDA HAIR CONDICIONADOR COCONUT MOUSSE COCO CABELOS SECOS 500 ML x 1,
7898556032094,SVEDA HAIR CONDICIONADOR DEEP CLEAN 500 ML x 1,
7898556034982,SVEDA HAIR CONDICIONADOR DESMAIA CABELEIRA 500 ML x 1,
7908079505217,SVEDA HAIR CONDICIONADOR DO DESEMBARACO CABELONGOS 500 ML x 1,
7908079506412,SVEDA HAIR CONDICIONADOR HIDRACT COCO 500 ML x 1,
7908079508065,SVEDA HAIR CONDICIONADOR ME ENROLA CONTROLE DO FRIZZ 350 ML x 1,
7908079504012,SVEDA HAIR CONDICIONADOR MICELAR 300 ML x 1,
7908079503992,SVEDA HAIR CONDICIONADOR MICELAR 500 ML x 1,
7898556035057,SVEDA HAIR CONDICIONADOR OLEO RICINO 500 ML x 1,
7898556031967,SVEDA HAIR CONDICIONADOR QUERATINA 3D 300 ML x 1,
7898556035088,SVEDA HAIR CONDICIONADOR QUERATINA 500 ML x 1,
7908079500748,SVEDA HAIR CONDICIONADOR RAPUNZEL 500 ML x 1,
7908079506153,SVEDA HAIR CONDICIONADOR REPOSICAO DE QUERATINA 500 ML x 1,
7898556032049,SVEDA HAIR CONDICIONADOR SEMPRE LISS 500 ML x 1,
7908079506597,SVEDA HAIR CONDICIONADOR SOS COCONUT 500 ML x 1,
7908079500878,SVEDA HAIR CREME CAPILAR GELATINA 300 ML x 1,
7908079505224,SVEDA HAIR CREME CAPILAR SEM CORTE CABELONGOS 300 ML x 1,
7898556034562,SVEDA HAIR CREME DE PENTEAR COCONUT 300 G x 1,
7898556034487,SVEDA HAIR CREME DE PENTEAR QUERATINA 3D 300 ML x 1,
7898556030175,SVEDA HAIR CREME DEFRIZANTE PRE ESCOVA SEMPRE LISS 500 ML x 1,
7908079506436,SVEDA HAIR CREME LEAVE IN BIOTINA E RICINO 300 ML x 1,
7908079507358,SVEDA HAIR CREME LEAVE IN CONDICIONANTE ACIDO HIALURONICO 500 ML x 1,
7908079506160,SVEDA HAIR CREME LEAVE IN REPOSITOR DE QUERATINA 500 ML x 1,
7908079506603,SVEDA HAIR CREME LEAVE IN SOS COCONUT 500 ML x 1,
7908079508478,SVEDA HAIR CREME LEAVE-IN ANTIFRIZZ 500 ML x 1,
7908079506382,SVEDA HAIR CREME LEAVE-IN COCONUT 300 ML x 1,
7908079507723,SVEDA HAIR CREME LEAVE-IN CONDICIONANTE CHAPA FIO 350 ML x 1,
7908079500755,SVEDA HAIR CREME LEAVE-IN RAPUNZEL 500 ML x 1,
7898556035033,SVEDA HAIR CREME MANTEIGA CAPILAR COCONUT MOUSSE COCO 200 G x 1,
7898566994092,SVEDA HAIR CREME PENTEAR DEEP CLEAN TODOS TIPOS CABELOS 500 ML x 1,
7908079501196,SVEDA HAIR KIT SHAMPOO E CONDICIONADOR OLEO DE RICINO 300 ML CADA 600 ML x 1,
7908079501202,SVEDA HAIR KIT SHAMPOO E CONDICIONADOR RAPUNZEL 500 ML CADA 1 L x 1,
7898556034470,SVEDA HAIR LEAVEIN CAPILAR OLEO DE RICINO 300 ML x 1,
7898556034975,SVEDA HAIR LEAVE-IN DESMAIA CABELO 500 ML x 1,
7898556031981,SVEDA HAIR LIQUIDO QUERATINA 3D 120 ML x 1,
7908079508461,SVEDA HAIR MASCARA CAPILAR ANTI FRIZZ 500 G x 1,
7908079506443,SVEDA HAIR MASCARA CAPILAR BIOTINA E RICINO 1 KG x 1,
7908079506467,SVEDA HAIR MASCARA CAPILAR BIOTINA E RICINO 300 ML x 1,
7908079507730,SVEDA HAIR MASCARA CAPILAR CHAPA FIO ALISADOS E RELAXADOS 280 G x 1,
7898556035026,SVEDA HAIR MASCARA CAPILAR COCONUT 900 ML x 1,
7908079507365,SVEDA HAIR MASCARA CAPILAR CONDICIONANTE ACIDO HIALURONICO 500 G x 1,
7908079508874,SVEDA HAIR MASCARA CAPILAR CONDICIONANTE BAMBOO OLEO RICINO 500 G x 1,
7908079505231,SVEDA HAIR MASCARA CAPILAR DA SALVACAO CABELONGOS 500 ML x 1,
7898556034968,SVEDA HAIR MASCARA CAPILAR DESMAIA CABELO 450 G x 1,
7908079506399,SVEDA HAIR MASCARA CAPILAR HIDRACT COCO 1 KG x 1,
7908079506405,SVEDA HAIR MASCARA CAPILAR HIDRACT COCO 300 G x 1,
7908079508072,SVEDA HAIR MASCARA CAPILAR ME ENROLA CONTROLE DO FRIZZ 280 G x 1,
7898556035095,SVEDA HAIR MASCARA CAPILAR MICRO QUERATINA 3D 900 G x 1,
7908079500762,SVEDA HAIR MASCARA CAPILAR RAPUNZEL 500 ML x 1,
7898556032032,SVEDA HAIR MASCARA CAPILAR SEMPRE LISS 450 G x 1,
7908079506610,SVEDA HAIR MASCARA CAPILAR SOS COCONUT 500 ML x 1,
7898556033046,SVEDA HAIR MASCARA COCONUT MOUSSE COCO CABELO SECO 250 G x 1,
7908079507990,SVEDA HAIR OLEO ABACATE CABELOS SECOS ASPEROS 80 ML x 1,
7908079508003,SVEDA HAIR OLEO CAPILAR ARGAN HDRATACAO TOTAL 80 ML x 1,
7898556033091,SVEDA HAIR OLEO CAPILAR COCONUT MOUSSE COCO 120 ML x 1,
7898929949875,SVEDA HAIR OLEO CAPILAR DE RICINO 60 ML x 1,
7908079506627,SVEDA HAIR OLEO CAPILAR SOS COCONUT 120 ML x 1,
7908079507334,SVEDA HAIR SHAMPOO ACIDO HIALURONICO 500 ML x 1,
7908079501097,SVEDA HAIR SHAMPOO AFRO HAIR 500 ML x 1,
7908079508454,SVEDA HAIR SHAMPOO ANTIFRIZZ 500 ML x 1,
7908079508843,SVEDA HAIR SHAMPOO BAMBOO OLEO RICINO 500 ML x 1,
7908079506450,SVEDA HAIR SHAMPOO BIOTINA E RICINO 500 ML x 1,
7898556032100,SVEDA HAIR SHAMPOO BLOND 240 ML x 1,
7908079507747,SVEDA HAIR SHAMPOO CHAPA FIO ALISADOS E RELAXADOS 350 ML x 1,
7898556033015,SVEDA HAIR SHAMPOO COCONUT MOUSSE COCO CABELO SECO 300 ML x 1,
7898556035002,SVEDA HAIR SHAMPOO COCONUT MOUSSE COCO CABELO SECO 500 ML x 1,
7898556032087,SVEDA HAIR SHAMPOO DEEP CLEAR 500 ML x 1,
7898556034951,SVEDA HAIR SHAMPOO DESMAIA CABELO 500 ML x 1,
7908079506375,SVEDA HAIR SHAMPOO HIDRACT COCO 500 ML x 1,
7908079508089,SVEDA HAIR SHAMPOO ME ENROLA CONTROLE DO FRIZZ 350 ML x 1,
7908079504005,SVEDA HAIR SHAMPOO MICELAR 300 ML x 1,
7908079503985,SVEDA HAIR SHAMPOO MICELAR 500 ML x 1,
7898556035040,SVEDA HAIR SHAMPOO OLEO RICINO 500 ML x 1,
7898556035071,SVEDA HAIR SHAMPOO QUERATINA 500 ML x 1,
